priority_rank,priority,page_type,folder,material,grade,form,city,state,country,proposed_url,proposed_h1,target_keyword,intent,industry_basis,existing_overlap,risk_level,content_depth_score,internal_links_from,internal_links_to,status,notes
294,stainless_india,india_city,material-location,Stainless Steel,SS 316,Sheets,Vadodara,Gujarat,,/material-location/ss-316-sheets-vadodara.html,SS 316 Sheets Supplier in Vadodara,ss 316 sheets supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
295,stainless_india,india_city,material-location,Stainless Steel,SS 316,Plates,Vadodara,Gujarat,,/material-location/ss-316-plates-vadodara.html,SS 316 Plates Supplier in Vadodara,ss 316 plates supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
296,stainless_india,india_city,material-location,Stainless Steel,SS 316,Round Bars,Vadodara,Gujarat,,/material-location/ss-316-round-bars-vadodara.html,SS 316 Round Bars Supplier in Vadodara,ss 316 round bars supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
297,stainless_india,india_city,material-location,Stainless Steel,SS 316,Welded Pipes,Vadodara,Gujarat,,/material-location/ss-316-welded-pipes-vadodara.html,SS 316 Welded Pipes Supplier in Vadodara,ss 316 welded pipes supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
298,stainless_india,india_city,material-location,Stainless Steel,SS 316,Seamless Pipes,Vadodara,Gujarat,,/material-location/ss-316-seamless-pipes-vadodara.html,SS 316 Seamless Pipes Supplier in Vadodara,ss 316 seamless pipes supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
299,stainless_india,india_city,material-location,Stainless Steel,SS 316,Tubes,Vadodara,Gujarat,,/material-location/ss-316-tubes-vadodara.html,SS 316 Tubes Supplier in Vadodara,ss 316 tubes supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
300,stainless_india,india_city,material-location,Stainless Steel,SS 316,Flanges,Vadodara,Gujarat,,/material-location/ss-316-flanges-vadodara.html,SS 316 Flanges Supplier in Vadodara,ss 316 flanges supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
301,stainless_india,india_city,material-location,Stainless Steel,SS 316,Fittings,Vadodara,Gujarat,,/material-location/ss-316-fittings-vadodara.html,SS 316 Fittings Supplier in Vadodara,ss 316 fittings supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
302,stainless_india,india_city,material-location,Stainless Steel,SS 304,Sheets,Chennai,Tamil Nadu,,/material-location/ss-304-sheets-chennai.html,SS 304 Sheets Supplier in Chennai,ss 304 sheets supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
303,stainless_india,india_city,material-location,Stainless Steel,SS 304,Round Bars,Chennai,Tamil Nadu,,/material-location/ss-304-round-bars-chennai.html,SS 304 Round Bars Supplier in Chennai,ss 304 round bars supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
304,stainless_india,india_city,material-location,Stainless Steel,SS 304,Welded Pipes,Chennai,Tamil Nadu,,/material-location/ss-304-welded-pipes-chennai.html,SS 304 Welded Pipes Supplier in Chennai,ss 304 welded pipes supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",file already exists,low,96,,,rejected-existing-overlap,Existing URL or equivalent intent already covered
305,stainless_india,india_city,material-location,Stainless Steel,SS 304,Seamless Pipes,Chennai,Tamil Nadu,,/material-location/ss-304-seamless-pipes-chennai.html,SS 304 Seamless Pipes Supplier in Chennai,ss 304 seamless pipes supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
306,stainless_india,india_city,material-location,Stainless Steel,SS 304,Tubes,Chennai,Tamil Nadu,,/material-location/ss-304-tubes-chennai.html,SS 304 Tubes Supplier in Chennai,ss 304 tubes supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
307,stainless_india,india_city,material-location,Stainless Steel,SS 316,Pipes,Chennai,Tamil Nadu,,/material-location/ss-316-pipes-chennai.html,SS 316 Pipes Supplier in Chennai,ss 316 pipes supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
308,stainless_india,india_city,material-location,Stainless Steel,SS 316,Sheets,Chennai,Tamil Nadu,,/material-location/ss-316-sheets-chennai.html,SS 316 Sheets Supplier in Chennai,ss 316 sheets supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
309,stainless_india,india_city,material-location,Stainless Steel,SS 316,Plates,Chennai,Tamil Nadu,,/material-location/ss-316-plates-chennai.html,SS 316 Plates Supplier in Chennai,ss 316 plates supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
310,stainless_india,india_city,material-location,Stainless Steel,SS 316,Round Bars,Chennai,Tamil Nadu,,/material-location/ss-316-round-bars-chennai.html,SS 316 Round Bars Supplier in Chennai,ss 316 round bars supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
311,stainless_india,india_city,material-location,Stainless Steel,SS 316,Welded Pipes,Chennai,Tamil Nadu,,/material-location/ss-316-welded-pipes-chennai.html,SS 316 Welded Pipes Supplier in Chennai,ss 316 welded pipes supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
312,stainless_india,india_city,material-location,Stainless Steel,SS 316,Seamless Pipes,Chennai,Tamil Nadu,,/material-location/ss-316-seamless-pipes-chennai.html,SS 316 Seamless Pipes Supplier in Chennai,ss 316 seamless pipes supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
313,stainless_india,india_city,material-location,Stainless Steel,SS 316,Tubes,Chennai,Tamil Nadu,,/material-location/ss-316-tubes-chennai.html,SS 316 Tubes Supplier in Chennai,ss 316 tubes supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
314,stainless_india,india_city,material-location,Stainless Steel,SS 316,Flanges,Chennai,Tamil Nadu,,/material-location/ss-316-flanges-chennai.html,SS 316 Flanges Supplier in Chennai,ss 316 flanges supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
315,stainless_india,india_city,material-location,Stainless Steel,SS 316,Fittings,Chennai,Tamil Nadu,,/material-location/ss-316-fittings-chennai.html,SS 316 Fittings Supplier in Chennai,ss 316 fittings supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
316,stainless_india,india_city,material-location,Stainless Steel,SS 304,Sheets,Bengaluru,Karnataka,,/material-location/ss-304-sheets-bengaluru.html,SS 304 Sheets Supplier in Bengaluru,ss 304 sheets supplier in bengaluru,material-form-city RFQ support,"aerospace, machine shops, electronics, precision engineering and fabrication",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
317,stainless_india,india_city,material-location,Stainless Steel,SS 304,Plates,Bengaluru,Karnataka,,/material-location/ss-304-plates-bengaluru.html,SS 304 Plates Supplier in Bengaluru,ss 304 plates supplier in bengaluru,material-form-city RFQ support,"aerospace, machine shops, electronics, precision engineering and fabrication",file already exists,low,96,,,rejected-existing-overlap,Existing URL or equivalent intent already covered
318,stainless_india,india_city,material-location,Stainless Steel,SS 304,Welded Pipes,Bengaluru,Karnataka,,/material-location/ss-304-welded-pipes-bengaluru.html,SS 304 Welded Pipes Supplier in Bengaluru,ss 304 welded pipes supplier in bengaluru,material-form-city RFQ support,"aerospace, machine shops, electronics, precision engineering and fabrication",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
319,stainless_india,india_city,material-location,Stainless Steel,SS 304,Seamless Pipes,Bengaluru,Karnataka,,/material-location/ss-304-seamless-pipes-bengaluru.html,SS 304 Seamless Pipes Supplier in Bengaluru,ss 304 seamless pipes supplier in bengaluru,material-form-city RFQ support,"aerospace, machine shops, electronics, precision engineering and fabrication",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
320,stainless_india,india_city,material-location,Stainless Steel,SS 304,Tubes,Bengaluru,Karnataka,,/material-location/ss-304-tubes-bengaluru.html,SS 304 Tubes Supplier in Bengaluru,ss 304 tubes supplier in bengaluru,material-form-city RFQ support,"aerospace, machine shops, electronics, precision engineering and fabrication",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
